epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,652.94,2.21623,6.08719,1.79108,0.26284,0.22936,0.14549,0.0548,1.98272,2.9213,1.63371,0.00999367,0.00333122,0.00999367,0.00333122,0.00999367,0.00333122,0.00999367,0.00333122
2,1160.54,2.23599,3.68834,1.78067,0.2438,0.20961,0.13381,0.04906,2.11659,3.01682,1.77623,0.0197957,0.00659858,0.0197957,0.00659858,0.0197957,0.00659858,0.0197957,0.00659858
3,1625.89,2.41596,3.24239,1.97387,0.19035,0.18593,0.1005,0.03401,2.24459,3.95694,1.88999,0.0293998,0.00979993,0.0293998,0.00979993,0.0293998,0.00979993,0.0293998,0.00979993
4,2087.08,2.46603,3.26693,2.10465,0.16612,0.21468,0.09232,0.03233,2.17659,4.03977,1.87172,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,2549.19,2.32705,3.06601,1.99816,0.16377,0.1841,0.09819,0.03248,2.10808,2.95649,1.82425,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,3010.55,2.2775,2.95994,1.92993,0.24866,0.28073,0.15675,0.05862,1.967,3.32008,1.68825,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,3475.1,2.22222,2.80582,1.86287,0.29674,0.29847,0.21595,0.08628,1.95222,2.74696,1.64861,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,3934.31,2.14092,2.73899,1.81197,0.35819,0.33823,0.24112,0.0982,1.86134,2.77746,1.63202,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,4392.69,2.12076,2.70814,1.79799,0.36778,0.30703,0.27116,0.11581,1.87779,2.72283,1.60652,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,4853.21,2.08747,2.64771,1.77218,0.40019,0.31927,0.28475,0.121,1.86728,2.8142,1.60315,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,5313.36,2.0713,2.61274,1.74338,0.36061,0.32722,0.27387,0.11944,1.81873,2.74451,1.60948,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,5772.34,2.02912,2.56879,1.72746,0.34738,0.35902,0.25434,0.11239,1.8063,2.68196,1.55471,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,6232.25,2.02493,2.57755,1.70507,0.40234,0.3611,0.29588,0.12733,1.82645,2.65246,1.54512,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,6691.85,2.00199,2.47503,1.68485,0.43331,0.37927,0.3212,0.13914,1.77463,2.62037,1.53869,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,7153.19,1.98206,2.473,1.68815,0.49015,0.38104,0.36014,0.16378,1.78294,2.61349,1.53921,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,7615.31,1.97778,2.45205,1.66249,0.38937,0.38226,0.31402,0.14011,1.7621,2.56304,1.5021,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,8076.99,1.95873,2.44814,1.65805,0.4541,0.37445,0.35366,0.16212,1.72642,2.68887,1.49226,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,8538.76,1.94806,2.4104,1.64461,0.45007,0.37187,0.3462,0.16041,1.72727,2.55638,1.48995,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,8998.38,1.947,2.37621,1.63028,0.48472,0.39021,0.38217,0.18176,1.68994,2.6622,1.47525,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,9456.01,1.90664,2.3298,1.61496,0.44781,0.40489,0.36995,0.1763,1.72643,2.56424,1.48593,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,9917.97,1.91478,2.35267,1.61467,0.42108,0.40673,0.37172,0.17479,1.75098,2.43963,1.50253,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,10376.9,1.91343,2.35088,1.60226,0.47551,0.39878,0.38223,0.18174,1.69794,2.48036,1.46348,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,10837.2,1.91777,2.3316,1.60026,0.54613,0.4,0.42157,0.20147,1.67817,2.35664,1.43541,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,11296.4,1.90135,2.3087,1.6009,0.49671,0.41101,0.40897,0.19736,1.66086,2.35456,1.43711,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,11754,1.881,2.2934,1.5871,0.54234,0.42324,0.4151,0.20339,1.63666,2.368,1.41444,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,12211.9,1.88218,2.28527,1.59206,0.54702,0.41774,0.4258,0.20951,1.66501,2.39409,1.43319,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
