epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,440.714,2.16859,6.22553,1.76561,0.17834,0.19388,0.09931,0.03318,2.13866,3.20633,1.65579,0.00999367,0.00333122,0.00999367,0.00333122,0.00999367,0.00333122,0.00999367,0.00333122
2,774.809,2.22308,3.72642,1.7758,0.23043,0.19266,0.1262,0.04483,2.1214,3.02092,1.68432,0.0197957,0.00659858,0.0197957,0.00659858,0.0197957,0.00659858,0.0197957,0.00659858
3,1078.73,2.37617,3.2538,1.95568,0.15279,0.22446,0.09558,0.03227,2.10663,3.28856,1.84267,0.0293998,0.00979993,0.0293998,0.00979993,0.0293998,0.00979993,0.0293998,0.00979993
4,1375.81,2.40207,3.14697,2.0442,0.14649,0.17554,0.07086,0.02759,2.27097,3.54156,1.92969,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1675.13,2.27475,2.97162,1.93368,0.25676,0.26239,0.15992,0.06045,2.00668,3.34666,1.75703,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1973.14,2.20504,2.90411,1.87836,0.2533,0.25872,0.17065,0.06577,1.91893,2.8846,1.68007,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2271.33,2.1399,2.73723,1.82652,0.30367,0.30092,0.22018,0.09026,1.94428,2.70065,1.65392,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2568.83,2.08879,2.66866,1.79278,0.39677,0.30948,0.27157,0.11887,1.86178,3.09727,1.64921,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2864.53,2.06624,2.61312,1.75933,0.33525,0.33761,0.26553,0.11943,1.84812,2.71047,1.59298,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,3164.16,2.02165,2.55681,1.72324,0.44426,0.36817,0.31911,0.13964,1.78031,2.89702,1.5503,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,3464.68,2.01018,2.52751,1.70945,0.38065,0.37064,0.28913,0.12426,1.79068,2.65177,1.56795,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,3762.23,1.98042,2.48198,1.70142,0.42888,0.37187,0.33729,0.15094,1.78126,2.58666,1.53586,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,4060.2,1.95333,2.48505,1.67055,0.42475,0.37982,0.32692,0.14728,1.78122,2.56251,1.54945,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,4361.59,1.93105,2.3882,1.64392,0.46929,0.39327,0.36024,0.1606,1.75401,2.63197,1.53415,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,4661.81,1.9178,2.3782,1.65072,0.50216,0.41272,0.38225,0.17573,1.70777,2.56047,1.50875,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,4958.47,1.91492,2.35366,1.63408,0.42724,0.40673,0.32774,0.14384,1.72354,2.47921,1.50277,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,5250.41,1.89676,2.36409,1.62497,0.47637,0.41565,0.389,0.18441,1.69559,2.57965,1.47393,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,5548.42,1.88321,2.31331,1.61479,0.44711,0.41713,0.38217,0.17946,1.71348,2.5279,1.50735,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,5847.93,1.88005,2.2776,1.60453,0.51027,0.45119,0.42219,0.20412,1.6326,2.54142,1.44147,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,6146.76,1.85164,2.25298,1.60107,0.48058,0.42875,0.40799,0.19738,1.67657,2.50285,1.46437,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
